Month,spongebob: (Worldwide),paw patrol: (Worldwide)
2004-01,53,0
2004-02,54,0
2004-03,56,0
2004-04,47,0
2004-05,43,0
2004-06,44,0
2004-07,46,0
2004-08,44,0
2004-09,44,0
2004-10,54,0
2004-11,79,0
2004-12,87,0
2005-01,78,0
2005-02,77,0
2005-03,63,0
2005-04,53,0
2005-05,48,0
2005-06,45,0
2005-07,43,0
2005-08,43,0
2005-09,45,0
2005-10,47,0
2005-11,49,0
2005-12,52,0
2006-01,42,0
2006-02,46,0
2006-03,44,0
2006-04,39,0
2006-05,40,<1
2006-06,40,0
2006-07,39,0
2006-08,41,0
2006-09,41,0
2006-10,44,0
2006-11,48,0
2006-12,47,0
2007-01,45,<1
2007-02,43,0
2007-03,42,0
2007-04,44,0
2007-05,42,0
2007-06,46,0
2007-07,50,0
2007-08,43,0
2007-09,40,0
2007-10,46,0
2007-11,51,0
2007-12,55,0
2008-01,48,0
2008-02,46,0
2008-03,49,0
2008-04,45,0
2008-05,42,0
2008-06,47,0
2008-07,45,0
2008-08,48,0
2008-09,46,0
2008-10,48,0
2008-11,52,0
2008-12,52,0
2009-01,47,0
2009-02,51,0
2009-03,56,<1
2009-04,59,0
2009-05,56,0
2009-06,58,0
2009-07,72,0
2009-08,66,0
2009-09,57,0
2009-10,62,0
2009-11,70,0
2009-12,72,0
2010-01,65,0
2010-02,67,0
2010-03,64,<1
2010-04,67,0
2010-05,65,0
2010-06,65,0
2010-07,67,0
2010-08,66,0
2010-09,58,0
2010-10,60,<1
2010-11,65,0
2010-12,73,0
2011-01,64,0
2011-02,62,0
2011-03,58,0
2011-04,61,0
2011-05,59,<1
2011-06,64,0
2011-07,69,0
2011-08,69,0
2011-09,63,0
2011-10,63,0
2011-11,61,0
2011-12,64,<1
2012-01,59,<1
2012-02,61,0
2012-03,56,<1
2012-04,57,0
2012-05,54,0
2012-06,61,<1
2012-07,66,<1
2012-08,63,<1
2012-09,59,0
2012-10,56,<1
2012-11,59,0
2012-12,65,<1
2013-01,59,<1
2013-02,60,0
2013-03,60,<1
2013-04,59,<1
2013-05,57,0
2013-06,60,0
2013-07,63,<1
2013-08,61,1
2013-09,53,2
2013-10,53,2
2013-11,57,3
2013-12,65,4
2014-01,61,5
2014-02,55,5
2014-03,56,5
2014-04,55,5
2014-05,53,5
2014-06,52,6
2014-07,54,8
2014-08,57,9
2014-09,55,8
2014-10,52,10
2014-11,52,16
2014-12,55,16
2015-01,60,13
2015-02,100,12
2015-03,73,13
2015-04,64,12
2015-05,62,11
2015-06,61,12
2015-07,57,14
2015-08,53,16
2015-09,50,18
2015-10,49,22
2015-11,48,31
2015-12,48,35
2016-01,48,25
2016-02,48,24
2016-03,47,23
2016-04,46,24
2016-05,49,22
2016-06,59,23
2016-07,51,26
2016-08,44,28
2016-09,47,32
2016-10,60,36
2016-11,47,43
2016-12,48,45
2017-01,47,35
2017-02,48,33
2017-03,47,33
2017-04,45,34
2017-05,61,30
2017-06,53,31
2017-07,51,33
2017-08,47,34
2017-09,46,35
2017-10,48,40
2017-11,46,44
2017-12,46,48
2018-01,45,36
2018-02,55,33
2018-03,51,36
2018-04,49,31
2018-05,49,30
2018-06,44,29
2018-07,45,32
2018-08,46,34
2018-09,44,34
2018-10,45,39
2018-11,62,46
2018-12,54,48
2019-01,47,38
2019-02,56,36
2019-03,48,36
2019-04,48,33
2019-05,53,32
2019-06,51,31
2019-07,61,32
2019-08,65,35
2019-09,63,32
2019-10,62,36
2019-11,66,45
2019-12,57,45
2020-01,55,34
2020-02,57,33
2020-03,56,30
2020-04,60,31
2020-05,58,34
2020-06,72,51
2020-07,62,40
2020-08,55,36
2020-09,49,36
2020-10,47,41
2020-11,53,46
2020-12,47,44
2021-01,49,35
2021-02,44,35
2021-03,48,36
2021-04,47,33
2021-05,47,33
